Bag_name,Bag_price,Bag_old_price,Dropped_price,Number_of_people_bought
2024 Classic Tote Bag  Folding Designer Fashion Casual Shoulder Bag New Women High Quality nylon Handbags sac Large Capacity ,"NGN35,563.48","NGN79,031.24",Extra 1% off with coins,91 sold
Boggs Beach Bag Summer EVA Beach Basket Women Picnic Tote Bag Holes Waterproof Handbag Pouch Shopping Shoulder Bag ,"NGN30,213.57",,"Save NGN1,672.28","1,000+ sold"
All-Match Women Shoulder Bag Solid Fashion Handbag Crossbody Bag Women's Minimalist PU Leather Bag For Work ,"NGN27,229.65",,,900+ sold
Vintage Saddle Crossbody Bag PU Leather Women's Luxury Design Small Handbag and Purse Ladies Travel Shoulder Messenger Bag Purse ,"NGN11,379.61","NGN29,515.26","Drops to NGN13,281.75","1,000+ sold"
Fashion Mini Puffer Tote Bag Quilted Circle Phone Purse Elegant Purple Soft Nylon Padded Key Pouch Simple Trend Handbag ,"NGN8,104.12","NGN18,006.86",Extra 1% off with coins,"1,000+ sold"
2022 New Women's Fashion Handbags Retro Solid Color PU Leather Shoulder Underarm Bag Casual Women Hobos Handbags ,"NGN6,211.32",,,"2,000+ sold"
SAVETTE Brand The Symmetry 19 Genuine Leather Handbag Women's Suede Solid Color Simple Handbag Small Square Row Bag ,"NGN128,636.81",,"Drops to NGN120,918.61",59 sold
Small Square Fashionable Classic Versatile Women Handbag Crossbody Bag Urban Simple Style Soft Polyester Material Daily Match ,"NGN22,075.47","NGN44,150.93",Extra 2% off with coins,26 sold
Cat Knit Handbag Fashion Knit Handmade Shopping Bags High-capacity Knot Wrist Bag Girls ,"NGN7,667.81","NGN7,667.81",Extra 2% off with coins,500+ sold
Nylon Shoulder Bag Chest Bag For Men Outdoor Casual Fanny Pack Small Satchel Canva Handbag Zipper Messenger Fashion Bags ,"NGN1,448.91",,,60 sold
2024 Classic Tote Bag  Folding Designer Fashion Casual Shoulder Bag New Women High Quality nylon Handbags sac Large Capacity ,"NGN35,563.48","NGN79,031.24",Extra 1% off with coins,91 sold
Boggs Beach Bag Summer EVA Beach Basket Women Picnic Tote Bag Holes Waterproof Handbag Pouch Shopping Shoulder Bag ,"NGN30,213.57",,"Save NGN1,672.28","1,000+ sold"
All-Match Women Shoulder Bag Solid Fashion Handbag Crossbody Bag Women's Minimalist PU Leather Bag For Work ,"NGN27,229.65","NGN54,459.31","Drops to NGN24,507.61",900+ sold
Vintage Saddle Crossbody Bag PU Leather Women's Luxury Design Small Handbag and Purse Ladies Travel Shoulder Messenger Bag Purse ,"NGN11,379.61","NGN29,515.26","Drops to NGN13,281.75","1,000+ sold"
