Books_name,Books_price,Books_old_price,Discount_given,rating
Bookmart Rich Dad Poor Dad.,"₦ 5,850","₦ 5,850",42%,5
Bookmart The Art Of War By Sun Tzu,"₦ 5,900","₦ 5,900",46%,1
Bookmart The 48 Laws Of Power: Magnified Edition,"₦ 11,950","₦ 11,950",46%,5
Bookmart Secrets of the Millionaire Mind: Mastering The Inner Game Of Wealth,"₦ 10,500","₦ 10,500",48%,
Bookmart The Mafia Manager: A Guide To The Corporate Machiavelli,"₦ 6,700","₦ 6,700",44%,
Bookmart The Secret: Unlocking The Power Of The Law Of Attraction By Rhonda Byrne,"₦ 9,999","₦ 9,999",47%,5
Bookmart The Art Of Seduction,"₦ 9,600","₦ 9,600",49%,
Bookmart Think And Grow Rich,"₦ 9,300","₦ 9,300",48%,4
Bookmart The Purpose Driven Life: What On Earth Am I Here For?,"₦ 9,990","₦ 9,990",45%,
Motorcycle Rear Luggage Rack Box Bracket Easy To Black,"₦ 61,234","₦ 61,234",29%,
Portable Sturdy Lightweight Bookstand Textbooks Bookstands,"₦ 63,504","₦ 63,504",22%,
COLOURING BOOK FRUIT SERIES,"₦ 3,250","₦ 3,250",7%,
"Grace, a story of hope","₦ 4,200","₦ 4,200",7%,
Hardcover World Classics Childhood Resurrection Classic Literature Novel Book High School Students Extracurricular Reading Picture Book,"₦ 31,050 - ₦ 32,400","₦ 31,050 - ₦ 32,400",18%,
How the Steel Is the Famous Person Spread the Morning Flowers and the Sun Pick up Primary and Secondary School Students to Read Books,"₦ 36,450","₦ 36,450",16%,
Portable Sturdy Lightweight Bookstand Textbooks Bookstands,"₦ 52,340 - ₦ 62,127","₦ 52,340 - ₦ 62,127",23%,
Portable Sturdy Lightweight Bookstand Textbooks Bookstands,"₦ 35,262 - ₦ 74,097","₦ 35,262 - ₦ 74,097",23%,
Portable Sturdy Lightweight Bookstand Textbooks Bookstands,"₦ 64,260","₦ 64,260",28%,
Portable Sturdy Lightweight Bookstand Textbooks Bookstands,"₦ 75,587","₦ 75,587",22%,
Motorcycle Rear Luggage Rack Box Bracket Easy To Black,"₦ 93,520","₦ 93,520",40%,
2 Pcs Early Education Tail Cloth Book Baby Bath Books Babies Newborn Essentials Sensory Toys Ocean,"₦ 22,524","₦ 22,524",42%,
Portable Sturdy Lightweight Bookstand Textbooks Bookstands,"₦ 67,169","₦ 67,169",21%,
COLOURING FRUIT SERIES FOR CHILDREN,"₦ 3,000","₦ 3,000",14%,
"Bamboo Wooden Book Stand, Adjustable Book Holder Tray And Page Paper","₦ 42,228","₦ 42,228",50%,
